,author,published_at,updated_at,like_count,text
146,HugoS,2023-11-12T18:43:34Z,2023-11-12T18:43:34Z,1,Brie Larson #1 at the Box Office . She is set for life ! 💪🔥
147,Drednaut505,2023-11-12T18:38:30Z,2023-11-12T18:38:30Z,4,The Marvels On Track For DISASTROUS Opening Weekend
148,Glitch3rX,2023-11-12T18:35:35Z,2023-11-12T18:35:35Z,1,How do some people not like this
149,HugoS,2023-11-12T18:35:09Z,2023-11-12T18:35:09Z,0,in 3 days Brie Larson has made $115 Million!! That is more than all the troIIs family lineages COMBINED 🤯
150,Glitch3rX,2023-11-12T18:34:57Z,2023-11-12T18:34:57Z,2,The octopus cat got me😂
151,Wajeeh Ul Hassan,2023-11-12T18:31:03Z,2023-11-12T18:31:17Z,1,I am in those 4% who love DC ❤ Justice League
152,Trudy Kroll,2023-11-12T18:26:32Z,2023-11-12T18:26:32Z,1,Kmt. I really wanted to go watch a movie but this aint it. Very disappointed
153,Steve Vadeboncoeur,2023-11-12T18:19:36Z,2023-11-12T18:19:36Z,3,Clown larson looks so angry 😂 The studio is obviously asking her to step aside as Captain Marvel to hand it to a diversity actor
154,Lisa Roberge,2023-11-12T18:15:49Z,2023-11-12T18:15:49Z,1,This was good movie 🍿🎥 i swa  this movie all redy kt was funny action packt
155,Joel Ilustrisimo,2023-11-12T18:06:01Z,2023-11-12T18:06:01Z,4,"i maybe in the minority, but i actually enjoyed this movie. I know it’s not the best movie in the world, but for me it was actually an enjoyable and fun movie overall."
156,C M,2023-11-12T17:59:26Z,2023-11-12T17:59:26Z,3,This movie Sucked!!!!!! The story… how cheesy the characters were..WHAT HAPPENED!?! After Endgame..everything went down hill!!!Fast!!! So sad!! At least we got the old ones to go back to.. this hurts!!
157,Drednaut505,2023-11-12T17:34:52Z,2023-11-12T17:34:52Z,3,"The Marvels DISASTER Gets Worse! MASSIVE Budget Revealed, Brie Larson Takes Back Seat & Disney Panic"
158,primrose m.,2023-11-12T17:26:03Z,2023-11-12T17:26:03Z,1,Super fun and refreshing! Laser focused on characters and world building LOVE IT
159,bla bla bleh,2023-11-12T17:23:19Z,2023-11-12T17:23:19Z,1,ye nah
160,David Mander,2023-11-12T17:20:36Z,2023-11-12T17:20:36Z,2,Nobody asked for another Marvel movie... Please give them up already and do something else!! Hollywood is such trash right now 🙄🗑️
161,Wadosan,2023-11-12T17:08:42Z,2023-11-12T17:08:42Z,3,This truly is one of the marvel movies ever made
162,Drednaut505,2023-11-12T16:54:46Z,2023-11-12T16:54:46Z,5,"the brie bots seem to have a prevailing and intense personal feeling of inadequacy, weakness, and insecurity"
163,@Investor_Guddu,2023-11-12T16:50:09Z,2023-11-12T16:50:09Z,2,"I watched movie only for brie Larson 
😌🤗💓💞★"
164,Breakerx15,2023-11-12T16:48:13Z,2023-11-12T16:48:13Z,0,Trailer is just as bad as the movie
165,Disenfranchised 40 yo white dudes so triggered ,2023-11-12T16:46:39Z,2023-11-12T16:46:39Z,1,Brie Larson has made $115 Million in 3 Days . Very few actors n history can say that
166,Disenfranchised 40 yo white dudes so triggered ,2023-11-12T16:45:42Z,2023-11-12T16:45:42Z,1,Brie Larson is #1 at the Box Office. EPIC WINNING
167,Brandon James,2023-11-12T16:43:40Z,2023-11-12T16:43:40Z,0,Yeah no thanks
168,Steve Vadeboncoeur,2023-11-12T16:40:41Z,2023-11-12T16:40:41Z,6,Marvel EXPOSED! Disney is in Full PANIC Mode | deploy the brie bots
169,B.Rye.N,2023-11-12T16:34:18Z,2023-11-12T16:34:18Z,1,#1 World Wide Brie Larson is living rent free!!
170,B.Rye.N,2023-11-12T16:28:49Z,2023-11-12T16:28:49Z,1,THE MARVELS #1 !!!!
171,R1,2023-11-12T16:27:37Z,2023-11-12T16:27:37Z,0,The Marvels has made $115 Million dollars in 3 days ! Brie Larson is paid!!💪🔥
172,Jaleel Minor,2023-11-12T16:26:29Z,2023-11-12T16:26:29Z,1,This reminded me of a Disney channel super hero movie
173,R1,2023-11-12T16:24:13Z,2023-11-12T16:24:13Z,2,#1 LETS GOOOO CAP
174,Steve Vadeboncoeur,2023-11-12T16:22:17Z,2023-11-12T16:22:17Z,0,$115 Million World Wide in 3 Days !! That is how you do it Get your bag Brie!!!
175,Steve Vadeboncoeur,2023-11-12T16:21:52Z,2023-11-12T16:21:52Z,3,Brie Larson takes #1 Spot at the World Wide Box Office  LETS GOOOOOOO
176,Steve Vadeboncoeur,2023-11-12T16:21:19Z,2023-11-12T16:21:19Z,0,33rd #1 MCU LETS GOOOOOO
177,GifLinks,2023-11-12T16:13:45Z,2023-11-12T16:13:45Z,0,Loki Ep6 ∞ > The Marvels
178,Santiago Mapping🫡,2023-11-12T16:11:06Z,2023-11-12T16:11:06Z,3,I watched the movie in the cinema and only 2 other people showed up-
179,Steve Vadeboncoeur,2023-11-12T15:47:06Z,2023-11-12T15:47:06Z,3,3 of the most unpopular characters all in one movie. Absolutely horrendous. Hard pass
180,Ian Alvarado,2023-11-12T15:38:27Z,2023-11-12T15:38:27Z,0,😴
181,Drednaut505,2023-11-12T15:37:47Z,2023-11-12T15:37:47Z,2,"New Marvel film rolled out, and no one showed up."
